,tw_PT_OD,tw_PT_HD,u_PT_OD,u_PT_HD,u_SUM_OD,p_SUM
0,152.1523178807947,113.05960264900662,15.163078536515291,11.491700102017155,17.09335573115622,0.1816764209323539
1,148.50993377483445,98.93377483443707,15.025681591585451,10.743144155193937,16.56938256578997,0.3331370304165341
2,154.0794701986755,134.6158940397351,15.014928186218032,11.211085788169791,16.736741417308863,0.2975602732448749
3,153.9934210526316,130.21052631578948,14.731677099020516,11.32333825775332,16.993943520911216,0.3549975330696633
4,171.99346405228758,155.65359477124184,14.955661609851706,11.508657654618435,17.26814785069687,0.2094183337049326
5,174.4078947368421,159.76315789473685,15.312901268984382,11.494816595953289,17.12018501700592,0.2856344059511658
6,121.81699346405227,106.70588235294116,14.05941770990074,10.629530005835129,16.162079025442953,0.1825252292466251
7,141.66447368421052,117.5,14.909037854114343,11.216967874148684,16.936336295201304,0.2410917223187181
8,138.86363636363637,127.7922077922078,14.603147402049627,11.215509627170173,16.867977159637707,0.2391335960423939
9,163.17218543046357,141.7748344370861,15.211070525010058,11.44541449428852,16.98920257375872,0.3636845172622457
10,140.37254901960785,142.33986928104576,14.7963106832658,11.130229427431145,16.813170603901725,0.3432845840948942
11,108.62337662337664,93.5974025974026,14.197015604612648,10.310133516196714,15.965315334378529,0.3366840750643632
12,158.125,124.4342105263158,15.173182417581335,11.509324521110877,17.298166626374027,0.2835695353784049
13,212.93548387096772,150.5741935483871,16.228308754735593,12.242079396983614,18.02241488085458,0.2473291029312234
14,127.7748344370861,95.05960264900662,14.042857120145168,10.338816577642955,15.994896047841646,0.3050486646224898
15,141.7290322580645,125.65806451612904,14.48375808458897,11.286198539107447,16.823153377817125,0.1884294787913447
16,164.72297297297297,117.58783783783784,14.915356754415017,11.237728934101856,16.960607312480242,0.2309830530825278
17,155.4193548387097,132.8516129032258,15.118430170687716,11.536115438453988,16.98839930942173,0.2386260054303254
18,147.23333333333332,122.1,14.5369945696123,10.962636903698153,16.38555690369816,0.3747556930615883
19,130.07236842105263,93.58552631578948,14.386379856488071,10.653160005130744,16.206475794604426,0.2768292269102723
20,155.81879194630872,103.02013422818791,14.549596123472924,10.914567845224296,16.444353080123626,0.262190708272467
21,142.01307189542484,108.07843137254902,14.897937593927288,10.925875834131784,16.59114380798799,0.2219882528996138
22,164.99354838709678,154.01290322580644,15.9167508037229,12.123135439181755,17.707922535955955,0.2371796862634284
23,156.4248366013072,130.04575163398692,14.858719008003108,11.348148732802631,16.914527817769958,0.2810863008223411
24,186.7972972972973,136.8918918918919,15.02923703077368,11.422960421854585,16.93656852996268,0.2688692703460683
25,142.36129032258066,116.92258064516128,13.963163647040446,10.558157722957407,16.048893206828378,0.2086904964965051
26,126.90849673202614,104.84967320261438,15.143938834036495,11.295429624979768,16.956606095568016,0.2680368685082917
27,170.36301369863014,130.13013698630138,15.227245587792249,11.570637950547898,17.16695301904106,0.2708941775643525
28,158.3856209150327,130.79084967320262,15.094284874134177,11.345382047459273,16.904989890596525,0.3424683157785454
29,199.39735099337747,131.0860927152318,15.48040608269771,11.500789874211046,17.077240205336874,0.3942849153119475
