,origin_x,origin_y,destination_x,destination_y,treq,u_PT_OD,origin,hub,dist,ttrav,tarr,u,u_PT_HD,u_SUM_OD,p_SUM
81,19.86168633,50.01644636,19.872907461781093,50.03014549034367,2024-03-28 07:51:26,9.491860263122232,3932023786,1989392511,2299,383.1666666666667,2024-03-28 07:57:49,4.598000000000001,3.6977589473416734,10.875758947341675,0.20038358380347143
82,19.85631054,50.00543477,19.896832819715183,50.023389904983894,2024-03-28 08:13:54,19.913143834528906,2361342055,1989392511,3232,538.6666666666666,2024-03-28 08:22:52,6.4639999999999995,15.109622744309348,24.153622744309345,0.014196257603008562
83,19.86342499,50.0206455,20.020793870134337,50.0807515525673,2024-03-28 08:07:54,15.249521315740225,4250868801,1989392511,2352,392.0,2024-03-28 08:14:26,4.704,10.459124135301105,17.7431241353011,0.07630786474671636
84,19.87684176,50.00809482,19.947149505549167,50.06925456517236,2024-03-28 07:59:39,10.401841127683987,967785557,1989392511,1870,311.6666666666667,2024-03-28 08:04:50,3.74,4.1331937217564745,10.453193721756474,0.48716467201634595
85,19.87945806,50.02139866,19.90664300481499,50.03013095170665,2024-03-28 08:08:14,18.66696082704086,1967678727,1989392511,1610,268.3333333333333,2024-03-28 08:12:42,3.2199999999999998,9.726220526308996,15.526220526308995,0.9585423094609146
86,19.87240791,50.00636203,20.089502699582518,50.08573166016815,2024-03-28 07:59:16,15.792109210439705,295825387,1989392511,2169,361.5,2024-03-28 08:05:17,4.338,10.09477165411399,17.01277165411399,0.22781989380229825
87,19.86598351,50.00918514,19.92604983564809,50.063908405043826,2024-03-28 08:12:25,19.878547067642486,1812959150,1989392511,3217,536.1666666666666,2024-03-28 08:21:21,6.433999999999999,14.442234962390367,23.45623496239037,0.027180787080825736
88,19.8743913,50.01770985,19.92727357239912,50.05771632222573,2024-03-28 07:51:49,15.84779954883767,967791713,1989392511,1831,305.1666666666667,2024-03-28 07:56:54,3.6620000000000004,11.085604323284738,17.32760432328474,0.18545690877018806
89,19.86635502,50.02234333,19.866735711164115,50.06420326341105,2024-03-28 07:49:00,8.890557180398783,4250868801,1989392511,2352,392.0,2024-03-28 07:55:32,4.704,4.1331937217564745,11.417193721756474,0.07401182811784203
90,19.87296091,50.01887128,19.930084475294397,50.069024028569096,2024-03-28 08:10:09,14.286838872138542,1349572356,1989392511,1634,272.3333333333333,2024-03-28 08:14:41,3.268,9.735566541317354,15.583566541317355,0.21471625998751262
91,19.87630677,50.01013666,19.90664300481499,50.03013095170665,2024-03-28 07:52:52,13.00724748109032,295825425,1989392511,1955,325.8333333333333,2024-03-28 07:58:17,3.91,10.459124135301105,16.949124135301105,0.019042110677994595
92,19.87696923,50.00710871,19.951528452088738,50.06393838914402,2024-03-28 08:08:12,8.055173308211844,967785561,1989392511,1903,317.1666666666667,2024-03-28 08:13:29,3.806,4.1331937217564745,10.519193721756475,0.07841929015740048
93,19.88560272,50.01595469,19.947149505549167,50.06925456517236,2024-03-28 08:12:11,23.211932330764718,7598898496,1989392511,767,127.83333333333333,2024-03-28 08:14:18,1.534,14.779129398455604,18.893129398455606,0.9868591669515387
94,19.87097875,50.01995903,19.90664300481499,50.03013095170665,2024-03-28 08:07:37,11.672484022488337,1967678674,1989392511,1750,291.6666666666667,2024-03-28 08:12:28,3.5,4.1331937217564745,10.213193721756475,0.8114241041338125
95,19.86186808,50.01779152,20.020793870134337,50.0807515525673,2024-03-28 08:13:36,12.94091988716303,4311593980,1989392511,2496,416.0,2024-03-28 08:20:32,4.992,5.89432642852879,13.46632642852879,0.3715888750384999
96,19.86497604,50.00898983,19.90664300481499,50.03013095170665,2024-03-28 08:05:20,19.338373571374408,2361330988,1989392511,3093,515.5,2024-03-28 08:13:55,6.186,13.697835639033029,22.46383563903303,0.042069102974790225
97,19.86365252,50.01750541,19.8944574398021,50.00234556464199,2024-03-28 07:57:47,15.805092518724148,3932023787,1989392511,2334,389.0,2024-03-28 08:04:16,4.668,9.726220526308996,16.974220526308997,0.2370126371662717
