,origin_x,origin_y,destination_x,destination_y,treq,u_PT_OD,origin,hub,dist,ttrav,tarr,u,u_PT_HD,u_SUM_OD,p_SUM
22,19.87898145,50.09875409,19.956659023107136,50.05414863642009,2024-03-28 08:01:21,10.312600263057698,3830945445,1786358199,2263,377.1666666666667,2024-03-28 08:07:38,4.526,10.58410375935804,17.69010375935804,0.0006247690724260353
23,19.87532359,50.08958965,19.896749805080038,50.092023913249974,2024-03-28 08:13:18,9.363353872106272,9882648710,1786358199,1466,244.33333333333334,2024-03-28 08:17:22,2.932,6.762837029992518,12.274837029992518,0.05158882010594129
24,19.88126722,50.08402311,19.941901758623633,50.06816719956396,2024-03-28 08:10:37,11.047707518740282,307414955,1786358199,278,46.333333333333336,2024-03-28 08:11:23,0.556,7.182381654097855,10.318381654097855,0.6746573207889917
25,19.88895201,50.09645848,19.947149505549167,50.06925456517236,2024-03-28 07:58:27,7.285339511228034,51975594,1786358199,2718,453.0,2024-03-28 08:06:00,5.436,9.74983169169942,17.765831691699418,2.8078110836385627e-05
26,19.88744818,50.09561107,19.896749805080038,50.092023913249974,2024-03-28 08:01:57,15.608490826976327,261737332,1786358199,1691,281.8333333333333,2024-03-28 08:06:38,3.382,6.285853157797511,12.247853157797511,0.9664514580408692
27,19.872702,50.100578,19.940439694625585,50.07221055091952,2024-03-28 07:54:53,7.618128984894842,1710281870,1786358199,2777,462.8333333333333,2024-03-28 08:02:35,5.554,9.761771090163094,17.895771090163095,3.439234669250169e-05
28,19.88012685,50.09118738,19.896749805080038,50.092023913249974,2024-03-28 07:53:20,16.979829097651137,2476197726,1786358199,1315,219.16666666666666,2024-03-28 07:56:59,2.63,6.285853157797511,11.49585315779751,0.9958643887023146
29,19.88494013,50.09192255,19.92168228026507,50.028237756414214,2024-03-28 07:55:07,12.517790526260596,2397235539,1786358199,1509,251.5,2024-03-28 07:59:18,3.0180000000000002,13.814773533732508,19.412773533732505,0.001011829349748642
30,19.88828299,50.09437206,19.932209232580917,50.07897281266658,2024-03-28 07:54:43,6.852100977398726,1710281170,1786358199,2027,337.8333333333333,2024-03-28 08:00:20,4.054,10.235172744293212,16.869172744293213,4.4629459175754564e-05
31,19.87691583,50.09466015,19.895332660090357,50.08589444983672,2024-03-28 07:54:55,10.40614424802514,2397334313,1786358199,2044,340.6666666666667,2024-03-28 08:00:35,4.088,4.403566127764658,11.071566127764658,0.3395227152334997
32,19.88059051,50.08902604,19.93562969314135,50.087582303139854,2024-03-28 07:52:45,15.155313909740107,274511626,1786358199,1193,198.83333333333334,2024-03-28 07:56:03,2.386,7.435874172854272,12.401874172854273,0.9401073195443238
33,19.88948853,50.09382448,19.866735711164115,50.06420326341105,2024-03-28 07:51:05,12.016641578910853,1710281170,1786358199,2027,337.8333333333333,2024-03-28 07:56:42,4.054,10.868024962390367,17.502024962390365,0.004129818773394498
34,19.87603985,50.0923706,19.93257165630576,50.06578127539359,2024-03-28 07:57:49,10.05431063900076,32067567,1786358199,1664,277.3333333333333,2024-03-28 08:02:26,3.328,5.644534210496172,11.552534210496171,0.1826906212997725
35,19.87786072,50.0843247,19.944623309478686,50.09375940213475,2024-03-28 07:46:52,19.194642744285147,307414955,1786358199,278,46.333333333333336,2024-03-28 07:47:38,0.556,7.49248383452084,10.628483834520841,0.999809593507017
36,19.87940123,50.09513117,19.99409627102937,50.06713896103214,2024-03-28 07:57:58,15.2523548871711,2397334313,1786358199,2044,340.6666666666667,2024-03-28 08:03:38,4.088,12.832122781927048,19.500122781927047,0.014094610654486169
37,19.88316224,50.09797391,19.9291635675951,50.042482897524046,2024-03-28 08:06:23,17.592214661593967,274514735,1786358199,1938,323.0,2024-03-28 08:11:46,3.876,10.747291240520958,17.203291240520958,0.5960235079956265
